"Date","Sale"
"2/01/2014",4969
"3/01/2014",4190
"4/01/2014",5173
"6/01/2014",6194
"7/01/2014",5539
"8/01/2014",4931
"9/01/2014",4396
"10/01/2014",4486
"11/01/2014",4454
"13/01/2014",3994
"14/01/2014",3621
"15/01/2014",3776
"16/01/2014",3632
"17/01/2014",3803
"18/01/2014",5128
"20/01/2014",6148
"21/01/2014",5151
"22/01/2014",4562
"23/01/2014",4597
"24/01/2014",5098
"25/01/2014",4546
"27/01/2014",3601
"28/01/2014",3581
"29/01/2014",3789
"30/01/2014",4549
"31/01/2014",4906
"1/02/2014",5292
"3/02/2014",5839
"4/02/2014",5540
"5/02/2014",5031
"6/02/2014",4823
"7/02/2014",5596
"8/02/2014",4726
"10/02/2014",3591
"11/02/2014",3461
"12/02/2014",3662
"13/02/2014",3638
"14/02/2014",4647
"15/02/2014",5258
"17/02/2014",5393
"18/02/2014",4602
"19/02/2014",4935
"20/02/2014",4563
"21/02/2014",4727
"22/02/2014",4820
"24/02/2014",3826
"25/02/2014",3499
"26/02/2014",4108
"27/02/2014",3826
"28/02/2014",5031
"1/03/2014",5307
"3/03/2014",6198
"4/03/2014",5397
"5/03/2014",4916
"6/03/2014",4585
"7/03/2014",5340
"8/03/2014",4400
"10/03/2014",3573
"11/03/2014",3588
"12/03/2014",3805
"13/03/2014",3224
"14/03/2014",3883
"15/03/2014",5042
"17/03/2014",5563
"18/03/2014",5200
"19/03/2014",4036
"20/03/2014",4023
"21/03/2014",4510
"22/03/2014",5241
"24/03/2014",3850
"25/03/2014",3136
"26/03/2014",3225
"27/03/2014",3847
"28/03/2014",3987
"29/03/2014",4583
"31/03/2014",6008
"1/04/2014",5407
"2/04/2014",4834
"3/04/2014",4556
"4/04/2014",4738
"5/04/2014",4599
"7/04/2014",3751
"8/04/2014",3990
"9/04/2014",3919
"10/04/2014",3948
"11/04/2014",3733
"12/04/2014",4435
"14/04/2014",6803
"15/04/2014",6196
"16/04/2014",6381
"17/04/2014",6160
"19/04/2014",5871
"22/04/2014",4133
"23/04/2014",3482
"24/04/2014",3376
"25/04/2014",3710
"26/04/2014",3989
"28/04/2014",5488
"29/04/2014",5923
"30/04/2014",5870
"2/05/2014",6790
"3/05/2014",5498
"5/05/2014",5325
"6/05/2014",5055
"7/05/2014",5075
"8/05/2014",5222
"9/05/2014",5237
"10/05/2014",5996
"12/05/2014",3957
"13/05/2014",3535
"14/05/2014",3710
"15/05/2014",3589
"16/05/2014",3863
"17/05/2014",3785
"19/05/2014",5637
"20/05/2014",4909
"21/05/2014",4298
"22/05/2014",3801
"23/05/2014",4968
"24/05/2014",4574
"26/05/2014",3912
"27/05/2014",3971
"28/05/2014",4616
"30/05/2014",5407
"31/05/2014",4985
"2/06/2014",6071
"3/06/2014",5614
"4/06/2014",5229
"5/06/2014",5278
"6/06/2014",4957
"7/06/2014",4923
"10/06/2014",4607
"11/06/2014",4207
"12/06/2014",3702
"13/06/2014",3901
"14/06/2014",4757
"16/06/2014",4788
"17/06/2014",5770
"18/06/2014",5256
"20/06/2014",6362
"21/06/2014",3982
"23/06/2014",3755
"24/06/2014",3351
"25/06/2014",3727
"26/06/2014",2749
"27/06/2014",4019
"28/06/2014",5162
"30/06/2014",5738
"1/07/2014",5138
"2/07/2014",5161
"3/07/2014",4756
"4/07/2014",4025
"5/07/2014",5176
"7/07/2014",4223
"8/07/2014",4081
"9/07/2014",3547
"10/07/2014",3741
"11/07/2014",4020
"12/07/2014",4409
"14/07/2014",5083
"15/07/2014",5298
"16/07/2014",5424
"17/07/2014",4685
"18/07/2014",4609
"19/07/2014",4084
"21/07/2014",4507
"22/07/2014",3933
"23/07/2014",3806
"24/07/2014",3557
"25/07/2014",3858
"26/07/2014",4266
"28/07/2014",5372
"29/07/2014",5252
"30/07/2014",5487
"31/07/2014",5106
"1/08/2014",5038
"2/08/2014",4731
"4/08/2014",5655
"5/08/2014",5433
"6/08/2014",5337
"7/08/2014",4154
"8/08/2014",4451
"9/08/2014",4174
"11/08/2014",3886
"12/08/2014",3185
"13/08/2014",4069
"14/08/2014",3906
"15/08/2014",3746
"16/08/2014",4425
"18/08/2014",5623
"19/08/2014",5190
"20/08/2014",4280
"21/08/2014",4327
"22/08/2014",3971
"23/08/2014",3582
"25/08/2014",3414
"26/08/2014",3396
"27/08/2014",3148
"28/08/2014",3920
"29/08/2014",3869
"30/08/2014",4094
"1/09/2014",5464
"2/09/2014",5008
"3/09/2014",4978
"4/09/2014",4346
"5/09/2014",4706
"6/09/2014",3959
"8/09/2014",3676
"9/09/2014",3377
"10/09/2014",3275
"11/09/2014",3392
"12/09/2014",3906
"13/09/2014",4270
"15/09/2014",4611
"16/09/2014",4381
"17/09/2014",4383
"18/09/2014",3740
"19/09/2014",4128
"20/09/2014",3911
"22/09/2014",3982
"23/09/2014",3407
"24/09/2014",3405
"25/09/2014",2462
"26/09/2014",3518
"27/09/2014",3914
"29/09/2014",5280
"30/09/2014",4919
"1/10/2014",4712
"2/10/2014",5400
"4/10/2014",5355
"6/10/2014",5402
"7/10/2014",5439
"8/10/2014",4944
"9/10/2014",4654
"10/10/2014",4396
"11/10/2014",4743
"13/10/2014",4033
"14/10/2014",3681
"15/10/2014",3775
"16/10/2014",3430
"17/10/2014",3720
"18/10/2014",4169
"20/10/2014",4652
"21/10/2014",4678
"22/10/2014",4868
"23/10/2014",4466
"24/10/2014",4196
"25/10/2014",4596
"27/10/2014",4260
"28/10/2014",3364
"29/10/2014",3761
"30/10/2014",4042
"31/10/2014",4161
"1/11/2014",6532
"3/11/2014",5857
"4/11/2014",5253
"5/11/2014",4838
"6/11/2014",4785
"7/11/2014",5220
"8/11/2014",4720
"10/11/2014",5474
"11/11/2014",4479
"12/11/2014",4677
"13/11/2014",3869
"14/11/2014",5334
"15/11/2014",4967
"17/11/2014",3582
"18/11/2014",3890
"19/11/2014",3894
"20/11/2014",4963
"21/11/2014",4594
"22/11/2014",5849
"24/11/2014",6527
"25/11/2014",5815
"26/11/2014",5328
"27/11/2014",6144
"28/11/2014",7195
"29/11/2014",7066
"1/12/2014",7380
"2/12/2014",6467
"3/12/2014",6454
"4/12/2014",7016
"5/12/2014",6207
"6/12/2014",6185
"8/12/2014",4884
"9/12/2014",4345
"10/12/2014",4915
"11/12/2014",5060
"12/12/2014",5269
"13/12/2014",7263
"15/12/2014",8069
"16/12/2014",7739
"17/12/2014",7523
"18/12/2014",7785
"19/12/2014",7558
"20/12/2014",8367
"22/12/2014",9331
"23/12/2014",7959
"24/12/2014",3659
"27/12/2014",6057
"29/12/2014",6463
"30/12/2014",6466
"31/12/2014",2605
